sources,n_sources,mean_err_bps,p95_err_bps,liq_share,min_weight_to_corrupt
v3_001,1,4.607,14.224,0.1,0.05
v3_005,1,5.366,14.921,0.781,0.391
v3_030,1,14.605,31.101,0.117,0.058
v3_100,1,51.397,92.034,0.002,0.001
v3_001+v3_100,2,4.607,14.224,0.102,0.051
v3_001+v3_005,2,5.366,14.921,0.881,0.441
v3_005+v3_030,2,5.366,14.921,0.898,0.449
v3_005+v3_100,2,5.366,14.921,0.783,0.391
v3_001+v3_030,2,8.953,28.947,0.217,0.109
v3_030+v3_100,2,14.605,31.101,0.119,0.059
v3_001+v3_005+v3_030,3,5.366,14.921,0.998,0.499
v3_001+v3_005+v3_100,3,5.366,14.921,0.883,0.442
v3_005+v3_030+v3_100,3,5.366,14.921,0.9,0.45
v3_001+v3_030+v3_100,3,8.959,28.947,0.219,0.109
v3_001+v3_005+v3_030+v3_100,4,5.366,14.921,1.0,0.5
