sources,n_sources,mean_err_bps,p95_err_bps,liq_share,min_weight_to_corrupt
v3_001,1,5.415,17.06,0.066,0.033
v3_005,1,6.048,17.75,0.54,0.27
v3_030,1,15.792,32.651,0.392,0.196
v3_100,1,37.572,89.994,0.002,0.001
v3_001+v3_100,2,5.415,17.06,0.068,0.034
v3_001+v3_005,2,6.048,17.75,0.606,0.303
v3_005+v3_030,2,6.048,17.75,0.932,0.466
v3_005+v3_100,2,6.048,17.75,0.542,0.271
v3_001+v3_030,2,15.792,32.651,0.458,0.229
v3_030+v3_100,2,15.792,32.651,0.394,0.197
v3_001+v3_005+v3_030,3,6.048,17.75,0.998,0.499
v3_001+v3_005+v3_100,3,6.048,17.75,0.608,0.304
v3_005+v3_030+v3_100,3,6.048,17.75,0.934,0.467
v3_001+v3_030+v3_100,3,15.792,32.651,0.46,0.23
v3_001+v3_005+v3_030+v3_100,4,6.048,17.75,1.0,0.5
