sources,n_sources,mean_err_bps,p95_err_bps,liq_share,min_weight_to_corrupt
v3_005,1,3.766,8.54,0.858,0.429
v3_030,1,14.455,30.006,0.14,0.07
v3_100,1,42.896,88.846,0.001,0.001
v3_005+v3_100,2,3.766,8.54,0.86,0.43
v3_005+v3_030,2,3.81,8.63,0.999,0.499
v3_030+v3_100,2,14.455,30.006,0.142,0.071
v3_005+v3_030+v3_100,3,3.81,8.63,1.0,0.5
