window_s,mean_err_bps,p95_err_bps
60,5.534573717565077,15.716747783291794
120,6.214813029444991,17.403729044337524
300,7.885613176496798,22.199358392819704
600,9.93417405779839,28.015874483557127
900,11.54875443449248,32.533560389980266
1800,16.148919429930906,44.31762997532496
3600,23.075088884361808,83.99532250310585
7200,34.55283135836479,162.64399722323287
