sources,n_sources,mean_err_bps,p95_err_bps,liq_share,min_weight_to_corrupt
v3_001,1,4.148,13.131,0.078,0.039
v3_005,1,4.886,14.292,0.736,0.368
v3_030,1,14.185,31.025,0.184,0.092
v3_100,1,48.568,93.199,0.002,0.001
v3_001+v3_100,2,4.148,13.131,0.08,0.04
v3_005+v3_030,2,4.886,14.292,0.92,0.46
v3_005+v3_100,2,4.886,14.292,0.738,0.369
v3_001+v3_005,2,4.887,14.292,0.814,0.407
v3_001+v3_030,2,14.184,31.025,0.262,0.131
v3_030+v3_100,2,14.185,31.025,0.186,0.093
v3_005+v3_030+v3_100,3,4.886,14.292,0.922,0.461
v3_001+v3_005+v3_030,3,4.887,14.292,0.998,0.499
v3_001+v3_005+v3_100,3,4.887,14.292,0.816,0.408
v3_001+v3_030+v3_100,3,14.184,31.025,0.264,0.132
v3_001+v3_005+v3_030+v3_100,4,4.887,14.292,1.0,0.5
