window_s,mean_err_bps,p95_err_bps
60,3.7292472779638235,9.204233749076948
120,4.390011286555004,11.536346800677702
300,5.9055230830180125,16.347701425669946
600,7.645863116183864,22.151501573005223
900,8.941824511737044,25.484226278853015
1800,11.46997792383219,32.74117408962628
3600,15.906618397290432,41.365221866712076
7200,20.577320134930662,65.38645186788052
