amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
14999313344,-6084165316828905883,1595212782086929597172472379104284,442869799509729082,198213,25821306,97
-16934592736,6871148691884558335,1596436567417417541678151260561326,444859239068919819,198228,25821306,140
-527311753,214124037212166795,1596474698484648059742078258904806,444859239068919819,198229,25821306,223
26155,-10618662552987,1596474696593494524990098457696908,444859239068919819,198229,25821306,1060
1969227745,-799426781368951137,1596332320962305842351735349056761,444859239068919819,198227,25821307,47
966324963,-392236683290364938,1596262464726987841941765569433595,444859239068919819,198226,25821307,62
3046445582,-1236344545841481431,1596042271492350366064340633201027,444837542648912602,198224,25821307,76
-152762107,62000000000000000,1596053312796729747330007914287857,444843715245176546,198224,25821307,524
1000000,-405781430779675,1596053240525691534811539575812961,444843715245176546,198224,25821308,3
-553631221,224703830000000000,1596093257031856740350663536553241,444843715245176546,198224,25821308,19
1652787771,-670653993748496844,1595973811298924982430111707357016,444843715245176546,198223,25821308,155
-620546432,251838586153800548,1596018660113186226690664687507090,444843715245176546,198223,25821308,236
828545251,-336181081066832433,1595958785131451789613909719493152,444843715245176546,198222,25821308,271
-1584617008,643106775217205076,1596073313158123007188266634354566,444843715245176546,198224,25821309,53
-36179475,14684288733947886,1596075928217824720700725633135181,444843715245176546,198224,25821309,264
-17026648,6910681474495520,1596077158910367121609797062548045,444843715245176546,198224,25821309,350
7844087978,-3181950289248325326,1595510442857090003261751373546234,444843715245176546,198217,25821309,636
-1381168182,560218294056183894,1595610209642631487856845170000991,444843715245176546,198218,25821309,679
-2283312500,926292457812712557,1595775168948615928815252894584735,444843715245176546,198220,25821309,692
-1952623040,792290552636180087,1595916264451012126530796615480819,444843715245176546,198222,25821309,719
-1939636792,787160014373569792,1596056446278656912275541440739789,444843715245176546,198224,25821310,89
525182877,-213105237559197991,1596018491518782030307259902143990,444843715245176546,198223,25821310,145
-168584963,68419871495383597,1596030676109536525183529763283712,444843715245176546,198223,25821310,157
-5213946290,2116585604332328179,1596407595407610575811336826901971,444865411665183763,198228,25821310,307
-1723821507,699999999999999999,1596532249467629797256177656322538,444856871775558202,198230,25821310,347
-1162683,472173101966783,1596532333552351625797339228273618,444856871775558202,198230,25821310,380
3548226405,-1440437343568706406,1596275799073358637074464894877696,444865411665183763,198226,25821310,387
-109874368,44606554378730897,1596283742468905524605450602566336,444865411665183763,198227,25821311,88
-4122132115,1673814935402299136,1596581811395161926036213613922725,444856871775558202,198230,25821312,16
360474083,-146368192494491442,1596555743498547026897977156279532,444856871775558202,198230,25821313,67
346053898,-140508471790558607,1596530719207041264117410797762938,444856871775558202,198230,25821313,94
13921681118,-5648977953502512815,1595524637031410488872128244074833,444843715245176546,198217,25821314,64
-11622014688,4716298351024410624,1596364529715984446549818649339298,444865411665183763,198228,25821314,88
-5101455,2071297893362225,1596364898566228352771034342779602,444865411665183763,198228,25821314,502
-1245671804,505797573241831026,1596454969414489867598895671521969,444865411665183763,198229,25821314,512
-1499685397,609013998289024600,1596563421570586261032205861553274,444856871775558202,198230,25821315,173
33735972,-13698162368692954,1596560981953929420587791401651297,444856871775558202,198230,25821316,105
9082767,-3687961544441294,1596560325134994775087194304508378,444856871775558202,198230,25821316,111
-3938533803,1599804236566835200,1596844563918560796158222209903008,446042951765624312,198234,25821316,148
-201547541,81882484651081358,1596859106800665423665493770202599,446042951765624312,198234,25821316,186
3600033554,-1462064434581259679,1596599408316089442621738129258735,446042951765624312,198231,25821317,302
154445,-62713583394825,1596599397176619673199379812599148,446042951765624312,198231,25821317,401
25628210,-10406556740218497,1596597544938761833452306675879725,444856871775558202,198230,25821317,514
155518511,-63149126111735885,1596586298199543789805347373527032,444856871775558202,198230,25821317,534
53790410,-21841677249064180,1596582408238379952739162301178933,444856871775558202,198230,25821317,623
-3101970490,1259985353098963968,1596806234172415198353616536367441,446042951765624312,198233,25821318,47
32127256,-13048928145840764,1596803916362895547276819278776979,446042951765624312,198233,25821318,474
49999997,-20308113235068204,1596800309144152650268581973060871,446042951765624312,198233,25821318,492
22710000,-9223915283555621,1596798670750683567158812313794293,446042951765624312,198233,25821318,525
26618527,-10811382186726219,1596796750384177375049618040243998,446042951765624312,198233,25821318,805
-619006957,251472918582531549,1596841413672340114640084630953164,446042951765624312,198234,25821318,869
100000000,-40618044727863175,1596834198911887175646217516834576,446042951765624312,198233,25821319,157
3616039031,-1468517784731023083,1596573285868167626083123734833989,444856871775558202,198230,25821319,169
2999992120,-1217968966099683872,1596356371037216433744604027101979,444865411665183763,198227,25821319,209
-7118901356,2891324844618728711,1596870531821720482372097157365760,446042951765624312,198234,25821319,215
-192294355,78125711936595304,1596884407475627120278905880752889,446042951765624312,198234,25821320,9
55516990,-22551175326249821,1596880401834070486930454154770262,446042951765624312,198234,25821320,23
775769953,-315108352403697662,1596824430866128905219124041014460,446042951765624312,198233,25821320,37
14865129,-6037819222917120,1596823358401424034405579213849762,446042951765624312,198233,25821320,153
-4092452743,1662884202796744453,1597118690907652009009335506172826,446068687338769408,198237,25821320,229
-711577249,289197589698569446,1597170051388731033731781409081297,446068687338769408,198238,25821320,269
48855521,-19852371946186842,1597166525324258250887470158595276,446068687338769408,198238,25821322,174
520661518,-211564629232212280,1597128948427912801086548083327569,446068687338769408,198237,25821322,249
999848066,-406248484175039258,1597056792901557844300806336460194,446068687338769408,198236,25821322,276
854959206,-347349547046826792,1596995098490898322542050760217335,446042951765624312,198235,25821322,285
-2147582387,872737048557354368,1597150093715980983544519441785241,446068687338769408,198237,25821322,292
-1750180932,711365873173804800,1597276429808572518142624174476074,446068687338769408,198239,25821322,302
604693846,-245743051933564787,1597232782336763860692916732333861,446068687338769408,198238,25821322,384
-386283316,157012500000000000,1597260667207947696358365204872165,446068687338769408,198239,25821322,850
610473595,-248086937391403563,1597216603428643714899894304137657,446068687338769408,198238,25821323,396
373167509,-151642708506556497,1597189669520268890353827276565201,446068687338769408,198238,25821323,402
1617625667,-657289462694597758,1597072925534763062218779996626014,446068687338769408,198236,25821324,236
-4848873420,1970923552679802368,1597422954668619691698412826845200,446068687338769408,198241,25821325,20
380403944,-154623245968367823,1597395491374271121586939113880042,446068687338769408,198240,25821325,339
-3135735724,1275000000000000000,1597621927047533795785022543187111,446068286852678066,198243,25821325,420
-231171897,94009526559567568,1597638622825842746289085270129862,446068286852678066,198244,25821325,475
99308753,-40377560960584483,1597631451188548630955082055864909,446068286852678066,198243,25821325,622
590646952,-240141365718271536,1597588798617831788528541749507836,446068286852678066,198243,25821325,704
-2147376216,873302244490424960,1597743894183189011780651620884301,446068286852678066,198245,25821326,182
-3474463247,1413365684057905910,1597994903213806318201051585853796,446068286852678066,198248,25821326,308
773988252,-314823651672547113,1597938985991772812502332678417120,446068286852678066,198247,25821326,376
206641125,-84048600164014112,1597924057747938499770442619269578,446068286852678066,198247,25821326,385
653241542,-265687205316115640,1597876867867596932179361699395512,446068286852678066,198247,25821326,398
1299445436,-528465397111599208,1597783004789679108553130122854531,446068286852678066,198245,25821326,436
1070036432,-435121510012446436,1597705720932644672454092676926362,446068286852678066,198244,25821326,442
421672336,-171458023282575485,1597675267514337683807831291640969,446068286852678066,198244,25821326,452
33342218,-13557145197745583,1597672859569781627061080770921586,446068286852678066,198244,25821326,603
261234958,-106218283798283250,1597653993670324542372903797078460,446068286852678066,198244,25821326,719
855953669,-348013678671721214,1597592181420712418753621276240829,446068286852678066,198243,25821326,764
-2249648472,914902777162235800,1597754665101896208945116552059004,446068286852678066,198245,25821326,816
247587522,-100679600018151189,1597736782952576897110637316841236,446068286852678066,198245,25821326,862
503607273,-204781148611173999,1597700410866507971487901093115866,446068286852678066,198244,25821326,975
297366654,-120913424827905595,1597678934898018901404771875485270,446068286852678066,198244,25821326,990
289447449,-117690243912926594,1597658031412956408497062377112498,446068286852678066,198244,25821326,1150
-1954697936,795005166349003776,1597799221678428311748545803039686,446068286852678066,198246,25821328,227
18505880,-7525774136437381,1597797884992378437435468229968566,446068286852678066,198246,25821328,534
43349485,-17628857649594368,1597794753852954342531946266634790,446068286852678066,198245,25821328,566
29634578,-12051401073271618,1597792613350275941889621418519830,446068286852678066,198245,25821328,792
108227609,-44012309188549989,1597784796129263388409838900506251,446068286852678066,198245,25821328,822
-4856130353,1975634162082820352,1598135662165896640892001887278933,446068286852678066,198250,25821329,37
850129176,-345854088493335317,1598074233490653420740423323065157,446068286852678066,198249,25821329,151
-1378532564,560947562226844112,1598173855906430095692887829856093,446068286852678066,198250,25821329,237
1479578238,-601941554500304262,1598066942403027891908703580894571,446068286852678066,198249,25821329,374
46200000,-18794397367052480,1598063604246936454098665999265238,446068286852678066,198249,25821329,698
62717510,-25513679253107265,1598059072649452884054017522932288,446068286852678066,198249,25821329,885
4192667919,-1705262356072147542,1597756193455709702410336662740369,446068286852678066,198245,25821330,69
28125000,-11436954452367077,1597754162087614889512378681788839,446068286852678066,198245,25821330,289
40172768,-16336095972441663,1597751260561313422836571179529532,446068286852678066,198245,25821330,518
128649842,-52314547122681723,1597741968743079626592635789217300,446068286852678066,198245,25821330,558
-2120267226,862441770208226810,1597895135524433978117768205532132,446068286852678066,198247,25821330,571
1197373679,-486967691665111934,1597808643037629638458606805938928,446068286852678066,198246,25821331,54
8062616,-3278858771934382,1597808060665012483689449659255833,446068286852678066,198246,25821331,86
4364000419,-1774376309369336080,1597492905836158659447390576983541,446068286852678066,198242,25821331,105
40172768,-16330754031244793,1597490005258663009641954984206196,446068286852678066,198242,25821331,120
-1415088752,575402869153113784,1597592194888728078148347266859008,446068286852678066,198243,25821331,134
612379625,-248964813784064754,1597547975146351880087959431636500,446068286852678066,198242,25821331,315
-4308705166,1752360500000000000,1597859188525421749520075469960251,446068286852678066,198246,25821331,378
