amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
-11650858,6080533224279498,1809517761223082790855295777825809,18075522476414838870,200734,25785426,9
1000000,-521373953258529,1809517758937809966605274877231567,18075522476414838870,200734,25785429,81
-1011768,528037500488860,1809517761251133038536734023633960,18075522476414838870,200734,25785431,79
-153546405627,80150762126105739264,1809868900340852145462561975204557,18075522476414838870,200738,25785433,2
-80751228236,42164380871116980224,1810053606135954202322263883795631,18079737243052098045,200740,25785434,28
464195,-242162068818023,1810053605074763130506334096925167,18079737243052098045,200740,25785435,381
-1399976837,731075999050265853,1810056807159305661614006152063964,18079737243052098045,200740,25785436,59
-85528139079,44668195301006811136,1810252452123580135501084358863178,18079737243052098045,200742,25785437,2
-490220598,256051985537791963,1810253573621353335670569493205233,18079737243052098045,200742,25785440,239
-67123950820,35063172958348099584,1810407148960015631961205592789758,18079737243052098045,200744,25785442,2
-65417850171,34177691285203034112,1810556845923266950703205333976764,18079737243052098045,200746,25785443,2
-213523525698,111595150721057374208,1811045627890229468614642049433830,18079792273190575705,200751,25785447,2
-10505524676,5492124000000000000,1811069683107280772228651094302284,18079792273190575705,200751,25785447,323
-21396206095,11186053098734282752,1811118677437204397505026107526541,18079792273190575705,200752,25785448,9
143618,-75011136612572,1811118677108495171640020596332652,18079792273190575705,200752,25785448,475
-65415142662,34203146999676243968,1811268485110811735510384922974010,18079792273190575705,200754,25785449,2
-2741186047,1433387832298909952,1811274763274856219550404917067776,18079792273190575705,200754,25785449,406
3500000000,-1828346170224292006,1811266751207830335524075574677533,18079792273190575705,200754,25785450,5
-33705500376,17625528689307924480,1811343950105427199874507087389662,18079792273190575705,200754,25785451,3
-134055688302,70116262330575036416,1811651055682283826908804833661433,18079792273190575705,200758,25785453,2
-3516653446,1839664554764795994,1811659113317210943811449439459592,18079792273190575705,200758,25785453,248
-46733275436,24449100795493986304,1811766199105212964103197694643309,18079792273190575705,200759,25785454,2
-35496191959,18572210756895236096,1811847545747178624569042892905950,18079313986088621989,200760,25785455,5
-3410718520,1784633706437399302,1811855362556644190449962968724934,18079313986088621989,200760,25785455,540
18089533936,-9455579006792554389,1811813925799099458992131566466987,18079313986088621989,200760,25785459,63
-23080347833,12076476744536785000,1811866821537528510503471261242546,18079313986088621989,200760,25785459,181
4126298715,-2156922667804756266,1811857369352573537724149132165120,18079313986088621989,200760,25785459,370
79514610160,-41559940958541578046,1811675246329093712465343941813261,18079792273190575705,200758,25785462,24
3198040722,-1671346766554816525,1811667922255274863925479631375126,18079792273190575705,200758,25785462,344
76775562,-40123959294064028,1811667746426508712684913231347326,18079792273190575705,200758,25785462,553
77153141105,-40317351317682161751,1811491070189631887504682774861289,18079792273190575705,200756,25785464,2
10000000,-5225117011376158,1811491047292442944287789503277189,18079792273190575705,200756,25785464,204
10000000,-5225116879285537,1811491024395254579910354512425898,18079792273190575705,200756,25785465,187
55760000,-29135249297161744,1811490896720542872518558857643954,18079792273190575705,200756,25785467,331
57948815122,-30276710870181418258,1811358219965579425595929328427983,18079792273190575705,200755,25785468,2
596101824,-311424263990763895,1811356855261172122623720891054229,18079792273190575705,200755,25785470,303
78944889,-41243512148948822,1811356674526369763121565046002516,18079792273190575705,200755,25785471,85
19481336,-10177715367956153,1811356629926206497304595316996741,18079792273190575705,200755,25785471,102
66876019,-34938312934631476,1811356476821663406737617389274252,18079792273190575705,200755,25785471,119
226368858060,-118228976560140992040,1810838380852077165015789892326060,18079737243052098045,200749,25785472,21
567473,-296297517943058,1810838379553656309193503034706493,18079737243052098045,200749,25785472,64
-6495265266,3394828766272055000,1810853248772083861872519298947158,18079737243052098045,200749,25785474,107
-16410034894,8577151111166747262,1810890816361537899179554606765358,18079737243052098045,200749,25785475,13
-55810421123,29173498253633011712,1811018594767277930862137146039664,18079792273190575705,200751,25785476,89
-42410878334,22171976386953067254,1811115706868979300772935861516921,18079792273190575705,200752,25785480,13
-106797781208,55843329703577859221,1811360297744365048748043382804227,18079792273190575705,200755,25785480,23
-44808400755,23434288676480000000,1811462938708144386741321513607014,18079792273190575705,200756,25785480,41
-89090721008,46601333739480000000,1811667050122595959521840846639955,18079792273190575705,200758,25785480,56
103995,-54349161850663,1811667049884430378714614135880301,18079792273190575705,200758,25785480,593
354691,-185365867869817,1811667049072131383113607513370265,18079792273190575705,200758,25785480,614
-28752649704,15042100000000000000,1811732932686632332854051366024681,18079792273190575705,200759,25785484,24
-66547554268,34818900000000000000,1811885439983703304629569596200758,18079313986088621989,200760,25785484,29
-44398845545,23233550000000000000,1811987204414635881939990418529832,18079313986088621989,200762,25785484,34
-110005099675,57576007400744280549,1812239390999488674621793701615168,18079313986088621989,200764,25785484,47
56133567014,-29352600021914019373,1812110760423873812716907418091520,18079313986088621989,200763,25785484,77
4793395421,-2506303922587842464,1812099777161199038658145487866728,18079313986088621989,200763,25785484,360
36663263884,-19168972597170791936,1812015773836884370013144287032256,18079313986088621989,200762,25785485,2
5784914,-3024436299869022,1812015760583033540029075872789803,18079313986088621989,200762,25785487,171
205909349,-107652352378324873,1812015288822983582624364164456426,18079313986088621989,200762,25785487,555
