amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
747411,-388955207441091,1816485874318034720501001171874738,13387167328646483,200811,25787343,214
281337300,-146339066056187691,1815619807955894348425685836496896,13387167328646483,200802,25788012,717
870107020,-451815587473237684,1813408667148985873008343336809174,16460712489161081,200777,25788014,212
75230575,-39013670108671863,1813220887829124531888354613587665,16460712489161081,200775,25788016,233
322311,-167128754796058,1813220083410472878272385323797028,16460712489161081,200775,25788268,79
664844827,-344429318537826495,1811562287489320561702269271729365,16460712489161081,200757,25789238,118
674176137,-348620957014875189,1809884316511063072241471974516626,16460712489161081,200738,25789243,320
274457674,-141738980725656991,1809202103088835268386422083551232,16460712489161081,200731,25789259,639
825035190,-425432681509063637,1807154424432660818006557692490051,16460712489161081,200708,25789262,193
4258803,-2193569868625389,1807143866413975279131229305218083,16460712489161081,200708,25789262,554
675181,-347761235394664,1807142192580980981203068192184738,16460712489161081,200708,25789458,161
29447,-15166795178885,1807142119580658908599177013618567,16460712489161081,200708,25789614,320
853331638,-439005936616381129,1805029110577320067307639112095365,16460712489161081,200685,25789865,230
657140351,-337374075650926551,1803405272720278826424704632707434,16460712489161081,200667,25789880,188
986122612,-505135295967571204,1800973972049243935465804989396362,16460712489161081,200640,25789884,312
2667494977,-1359607604053093709,1794429965008144592304352524706738,16460778588987027,200567,25789887,300
1836358838,-930254113398652897,1789952514340943382204821116253433,16460778588987027,200517,25789892,341
1159369542,-584921141526714980,1787137202355038138327408844162996,16460778588987027,200485,25789935,312
1925784454,-967534237101810853,1782480316937327509030424135019351,16460778588987027,200433,25789937,225
1828630838,-914067557961973999,1778080777661484639311983521498379,16460815163481232,200384,25789943,219
1883189296,-936635183855776561,1773572623974920225354639414433857,16460815163481232,200333,25789944,305
13580000,-6736988562000645,1773540197924366478381899361021995,16460815163481232,200333,25790003,997
1262782094,-625386927613960427,1770530124811752986069641050383498,16460815163481232,200299,25790028,514
1335684411,-659185401954839392,1767357375003531240750086713180038,16460815163481232,200263,25790041,133
1240397016,-610047100514208800,1764421134584033464671698970544910,16460815163481232,200230,25790044,253
1728387422,-846676980507715699,1760349991570270012211585648528486,16507420456815916,200183,25790045,360
4118740041,-2001987777882277718,1750741354446585652976534058112833,16507420456815916,200074,25790048,291
2722180325,-1311212160086334011,1744448128295245601712172108211057,16507420456815916,200002,25790053,753
1750065657,-838000000000000000,1740426106783123775668383753483562,16507420456815916,199956,25790061,111
1694308113,-807627806724839177,1736549858080933952831262258308377,16507420456815916,199911,25790226,110
161451833,-76771735526663553,1736181388424834706698705101738283,16507420456815916,199907,25791387,977
197947054,-94081080223426461,1735729841732063488892188677499638,16507420456815916,199902,25791388,459
