amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
-402608522,120654533982346880,1371202319598501338859335028665385,7040764403243424900,195187,21500002,251
38566357091,-11545006420813678868,1371072406198116135365936832062444,7040764403243424900,195185,21500004,283
49479460374,-14808687871644530026,1370905767313171030913704020408753,7040764403243424900,195182,21500005,21
738437481,-220979395989835316,1370903280680968180688988907883974,7040764403243424900,195182,21500008,193
49043201279,-14674515056527691969,1370738151612996383312677293295314,7040764403243424900,195180,21500010,2
-1655962379,495928730360609339,1370743729398877897790555971181182,7040764403243424900,195180,21500011,306
-344679460,103225344880588809,1370744890390036588570154497575302,7040764403243424900,195180,21500014,125
-33098770,9912500000000000,1370745001877432187346748819007785,7040764403243424900,195180,21500018,75
-4964754578,1486875000000000000,1370761724986772003835897033880376,7040764403243424900,195180,21500021,133
48483400264,-14504037987573030620,1370598519185062305830735537855433,7041059197483769307,195178,21500028,9
81703172133,-24434077013758325512,1370323579439459271119798626272567,7041059197483769307,195174,21500029,5
-1672605274,500610024541082523,1370329209640834170414002469531857,7041059197483769307,195174,21500029,61
-216590315,64825687127486122,1370329938714673889362028458514164,7041059197483769307,195174,21500029,89
50546875000,-15111735384215453497,1370159896822777703429182930242113,7041059197483769307,195171,21500030,26
-835484850,250000000000000000,1370162708480005529089343143367511,7041091962536816099,195171,21500031,130
-11696763,3500000000000000,1370162747843206718648585386351266,7041091962536816099,195171,21500034,336
21764784654,-6505776102264587226,1370089543191278563859666768376495,7041091962536816099,195170,21500035,20
17578537868,-5253945254949282621,1370030425816248208596553441099586,7057529587142913322,195169,21500038,27
2539731053,-759047725187687350,1370021904710415820823681933801152,7057529587142913322,195169,21500039,79
11000000,-3287542124879431,1370021867804311705165064847316427,7057529587142913322,195169,21500039,138
-173816149,52000000000000000,1370022451266905474237435942510907,7057529587142913322,195169,21500040,57
396393650,-118469148333576269,1370021121326616708289310920394178,7057529587142913322,195169,21500044,386
133301180,-39839328252422033,1370020674088424608861806917675977,7057529587142913322,195169,21500046,141
