amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
24697167987,-13153665235423696508,1828810922830355304788708689863914,6447198853812269356,200946,25598871,7
-12250722814,6530950777919574871,1828891140072558879850707137086054,6447198853812269356,200947,25598878,76
31048881199,-16534727632396124487,1828687948559827120914062496542117,6447198853812269356,200945,25598880,5
-207038,110354108772613,1828687949915265643204104503776433,6447198853812269356,200945,25598880,398
111996,-59635565407057,1828687949182417723536389650332911,6447198853812269356,200945,25598880,420
-38448355052,20496267826589575383,1828939697225914480979817015541760,6447198853812269356,200948,25598885,6
-24867067910,13259283525948035072,1829102544738922463181936743113859,6453338879901167174,200950,25598890,4
-16087357726,8579142000000000000,1829207818894584198839102617780016,6453338879901167174,200951,25598890,20
-155655,83013733202313,1829207819913240921294798487106843,6453338879901167174,200951,25598890,227
-48927032206,26098108568187201561,1829528068295175177255392394852892,6453338879901167174,200954,25598894,50
-2154357,1149354453323547,1829528082398837248554847824992930,6453338879901167174,200954,25598894,318
-25369369128,13535842374349127680,1829694179938326622625164631894675,6453338879901167174,200956,25598897,8
-22405519556,11956522621499961852,1829840897736403499155574160569598,6453338879901167174,200958,25598900,250
14791649497,-7885766616961985837,1829744083542897548771052045963501,6453338879901167174,200957,25598904,2
12498764,-6663023745660264,1829744001740417006224602779610631,6453338879901167174,200957,25598906,64
-11440910405,6105441367208361943,1829818921258578040657637903990834,6453338879901167174,200957,25598907,195
-100152298,53448477676822045,1829819577121758628246381600904507,6453338879901167174,200957,25598908,526
-22169146016,11831995500868943872,1829964766854735123232734743234042,6453338879901167174,200959,25598910,2
-14019056314,7483143399951996928,1830056631941918984370480606930981,6448320551635352820,200960,25598913,21
-24351088279,13000000000000000000,1830216278336881160295236314853535,6448320551635352820,200962,25598914,157
-15989773527,8537486936265266000,1830321122876220500443877977310388,6448320551635352820,200963,25598923,41
-48418076309,25858033213643374592,1830638672244172067626585107916393,6448320551635352820,200966,25598925,12
1166940819,-622695765463986325,1830631021408437697516322728905171,6448320551635352820,200966,25598929,481
325591,-173739026692769,1830631019273769649974246584051543,6448320551635352820,200966,25598930,111
13929286972,-7432458377475094024,1830539699368765584703271907803456,6448320551635352820,200965,25598933,89
103587,-55269600335782,1830539698689688165639282750964062,6448320551635352820,200965,25598933,390
1113360,-594042370159001,1830539691390906247705618690297354,6448320551635352820,200965,25598933,434
572123022,-305260397124171805,1830535940767754241225152388117084,6448320551635352820,200965,25598934,8
-198096198,105801300000000000,1830537240059764034430049915507901,6448320551635352820,200965,25598935,54
35727283162,-19060100939167859148,1830303055551929091395387161798672,6448320551635352820,200963,25598937,2
179703687,-95857555186221588,1830301877785113732323010230824930,6448320551635352820,200963,25598941,235
80000000,-42673566793308771,1830301353470564247629335402067297,6448320551635352820,200963,25598941,245
655227,-349510607154119,1830301349176254905789460547544825,6448320551635352820,200963,25598945,485
-3018330000,1611664538775844020,1830321141209601362827139132078335,6448320551635352820,200963,25598947,170
-34689251384,18525141360000000000,1830548639058392801354776686903888,6448320551635352820,200965,25598952,13
10981110247,-5858890071819414791,1830476653013182068791297779433472,6448320551635352820,200965,25598954,38
23735637171,-12662399163476788949,1830321074733425179463310098768557,6448320551635352820,200963,25598958,54
-12075702,6448000000000000,1830321153918037080702568777599686,6448320551635352820,200963,25598958,98
-28654457154,15302042497087143936,1830509070527284617235139717623931,6448320551635352820,200965,25598959,2
-9980433318,5330485084306095979,1830574531506293010975959125178314,6448320551635352820,200966,25598960,22
-13327831096,7118903177550000000,1830661955139245367630021088165804,6448320551635352820,200967,25598961,317
10663783773,-5690293758499092803,1830592040575438837389708913818598,6448320551635352820,200966,25598962,23
20026560875,-10685183823176508841,1830460755619354773058447955530116,6448320551635352820,200964,25598963,35
-12738417023,6803214479279664128,1830544302439798732695242508101040,6448320551635352820,200965,25598966,5
-55437021638,29614519200000000000,1830907983303553974402739097915046,6448320551635352820,200969,25598968,29
-12593423937,6729061417563134202,1830990604738455074664534714247948,6449678204212830810,200970,25598969,523
19908400755,-10626769772249177025,1830860052243975109786456396102198,6448320551635352820,200969,25598972,17
22809909781,-12173683731307806819,1830710478632468357820888120514025,6448320551635352820,200967,25598973,2
23387301500,-12479773507324898527,1830557144207533668149019288338840,6448320551635352820,200966,25598974,2
15311031037,-8169036492338939112,1830456774235908134574814948746278,6448320551635352820,200964,25598975,2
1723832770,-919676389985082937,1830445474507567583785127752912489,6448320551635352820,200964,25598975,208
6454202934,-3443259884244300757,1830403168429340971879611807956877,6448320551635352820,200964,25598977,10
