amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
117282095,-65652457685103295,1883769111550888019922604026624915,13640708171646869,201539,25527544,87
126786759,-70943116269917059,1883357058695979480219077807641221,13640708171646869,201534,25527567,52
209753354,-117298682831763930,1882675762755243718866084240031744,13640708171646869,201527,25527572,422
306245424,-171106844319767547,1881681937456844070535518404602876,13640708171646869,201516,25527577,102
195662177,-109226719988129920,1881047525209823994571251384786417,13640708171646869,201510,25527577,515
197372225,-110106744274527843,1880408001592756126113485143007141,13640708171646869,201503,25527577,947
209397599,-116733440123994113,1879729988703057573716220067713515,13640708171646869,201496,25530378,117
198939462,-110825362287467297,1879086291198241473273278154745374,13640708171646869,201489,25530381,126
229767269,-127904523718889509,1878343394255942450262119455293971,13640708171646869,201481,25530383,173
163805730,-91123985967576640,1877814126575823532315381219945854,13640708171646869,201475,25530420,310
129894116,-72222693114452411,1877394641663802367145264106729406,13640708171646869,201471,25530422,116
222589546,-123687473609363212,1876676238254185379957467296558985,13640708171646869,201463,25530432,1654
163799065,-90958623301205933,1876147931035945724450349198471015,13640708171646869,201458,25530432,1669
191946355,-106523838724188542,1875529217703772417296877476211840,13640708171646869,201451,25530866,209
61151,-33925300098500,1875529020658343710300991277718236,13640708171646869,201451,25530866,1270
314973969,-174647877550386110,1874514628278474860895420343644841,13640708171646869,201440,25530868,71
299999999,-166169487921564239,1873549480206373535084236162673481,13640708171646869,201430,25530869,340
3350967,-1855128389901981,1873538705222281031420454905498733,13640708171646869,201430,25530874,247
1352393261,-746960482838213103,1869201608601953579565812709823761,13653465424240737,201383,25530894,303
218715617,-120477417562562291,1868502503713827613246120191648880,13653465424240737,201376,25530895,320
252692853,-139081295932254661,1867695444467370559716801875207846,13653465424240737,201367,25530898,740
512199253,-281544486273084013,1866061701558860619591805661728373,13653465424240737,201350,25530905,188
500260778,-274507111450150592,1864468795043077412201877534881900,13653465424240737,201333,25530908,656
520418983,-285071568590913456,1862814585224343929399777715953164,13653465424240737,201315,25530927,213
20000000,-10945370685112510,1862751071560927802034622764057755,13653465424240737,201314,25530933,155
1395275164,-761752229836490949,1858330785019319270853331442989029,13653465424240737,201267,25530972,240
25000000,-13615814111921017,1858251775339380576369119536715160,13653465424240737,201266,25530972,773
235101130,-127987114301191546,1857509093274680476965579151597317,13653465424240737,201258,25530972,853
313770510,-170654778735375079,1856518819807588586870481264397016,13653465424240737,201247,25530977,1195
1443195708,-782593686271263191,1851977594716964034022029910934369,13653465424240737,201198,25530982,250
361114446,-195221035488350338,1850844768475033289959018770464768,13653465424240737,201186,25531023,529
543451632,-293344069722341010,1849142555087705673097437004087138,13653465424240737,201168,25531026,329
633704574,-341380062399149163,1847161599028383938162600913645492,13653465424240737,201146,25531035,210
326463117,-175582130891686840,1846142733182340973956633115744178,13653465424240737,201135,25531035,329
329098059,-176803346602126532,1845116780880679210749836076058275,13653465424240737,201124,25531072,84
387998785,-208194694433425407,1843908671248974019979205370048529,13653465424240737,201111,25531143,305
527334931,-282523823794506696,1842269245452648226469481857315392,13653465424240737,201093,25531145,222
284696224,-152319506107839994,1841385367681765342929001627293864,13653465424240737,201083,25531146,432
571904863,-305541935835401515,1839612372665839832038234499203919,13653465424240737,201064,25531147,262
525646246,-280309661082965732,1837985795185871257193134167768892,13653465424240737,201047,25531152,871
1049243,-559030372533358,1837982551251248853765079542990756,13653465424240737,201046,25531164,253
299436076,-159457233759493459,1837057254761469613057027842539663,13653465424240737,201036,25531175,712
1048566,-558105464414993,1837054016193892749764989979732299,13653465424240737,201036,25531310,182
1017233,-541426226237702,1837050874412395600591163648877649,13653465424240737,201036,25531605,402
654724030,-348095880902716192,1835030947883432345989425645713629,13653465424240737,201014,25531784,188
615902032,-326757422894879258,1833134755501458771453889223204840,13651205691851730,200994,25531797,382
25888082,-13719737997463775,1833055129594688866071196578941566,13651205691851730,200993,25532341,37
643193656,-340486889924200951,1831079029368978193220035121876700,13651205691851730,200971,25533892,209
551870810,-291558765484050810,1829386895664772371769283934044823,13651205691851730,200953,25533896,76
