amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
-806426894,432339392088411008,1826536848725205524853310789259740,13387167328646483,200922,25599033,259
-134475106,72211272519257988,1826959937092679085332674116157774,13387167328646483,200926,25599034,452
391681126,-206051954742782042,1825740476892027844492164470302019,13387167328646483,200913,25601013,455
67547560,-35506984346189825,1825530338850341336885453417763061,13387167328646483,200911,25601020,88
569144265,-298851561829885774,1823761670428782597032880778150072,13387167328646483,200891,25601022,473
101069197,-53009815957508909,1823447946829874134814237423746376,13387167328646483,200888,25601026,1759
2798118,-1467325942413825,1823439262876400408228811635868662,13387167328646483,200888,25601695,21
-296632642,158792034906831903,1824369630954301529851779265333085,13387167328646483,200898,25602785,456
-310613784,166450125150419006,1825344868050377900796408693812400,13387167328646483,200908,25602789,21
-145778765,78180552231167315,1825802930636144474034831119135902,13387167328646483,200914,25602789,278
-185762838,99680722053993759,1826386963467738220821052182280736,13387167328646483,200920,25602790,254
-117792737,63240871754360435,1826757493943863281315190213769027,13387167328646483,200924,25602790,555
-354921026,190706160000000000,1827874847995199707075727640955300,13387167328646483,200936,25602790,674
12599825,-6639327504760763,1827835555013673510328237283857804,13387167328646483,200936,25602794,37
-480729800,258666905922450360,1829351093448714664802176540295556,13387167328646483,200952,25602795,441
-368566535,198605755632702621,1830514731506735089694618913173916,13387167328646483,200965,25602951,388
-239805169,129357142458490224,1831272639521847434389226977038644,13387167328646483,200973,25603020,277
-153431039,82820899671211701,1831757890065316801321233148466815,13387167328646483,200979,25603022,148
-146324981,79026003671300655,1832220906180596218840744138755169,13387167328646483,200984,25603025,103
-178875653,96659993013119576,1832787240455248698686088986650916,13387167328646483,200990,25603025,234
-353231074,191052978105059575,1833906586397235116760659395516609,13389427061035490,201002,25603034,269
-273329707,147996742619116989,1834773558137185976152819611783900,13389427061035490,201012,25603034,486
10653080,-5655984760958103,1834740090440788163619867022730844,13389427061035490,201011,25603160,15
417589,-221704114253823,1834738778569151377951784370370869,13389427061035490,201011,25603520,58
-9866102,5344500924897248,1834770086901916187215165740174869,13389427061035490,201012,25604227,243
