amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
4693084768,-2644029875469109097,1880996299601438268472488758337438,5726940053830441529,201509,25527157,172
-114413603,64522589228567236,1880997191779483458938507696210359,5726940053830441529,201509,25527158,248
17983831986,-10130941347516606161,1880857037375917339442633083935678,5726940053830441529,201508,25527159,12
30430872513,-17139370041886335866,1880619926321443765172387834135026,5726940053830441529,201505,25527162,3
-17132768558,9658695837333118976,1880753480731988496894526206865753,5726940053830441529,201507,25527165,39
-201736687,113738378418977820,1880755053435212812780083347806109,5726940053830441529,201507,25527168,103
-13200847209,7443001007113995264,1880857970602181332003724714109616,5726940053830441529,201508,25527174,20
-13915246578,7846680983744179200,1880966469603616484704152657983163,5726940053830441529,201509,25527175,2
-30347729921,17115952987273963520,1881203671809755965444021881482943,5709715986070229447,201511,25527176,9
-6247091411,3523861355996481054,1881252544549895985690606731975989,5709715986070229447,201512,25527178,152
124068516,-69916421632780112,1881251574387872331298010636062504,5709715986070229447,201512,25527178,259
-222248521,125369261944730680,1881253313145088231556722921695699,5709715986070229447,201512,25527180,201
-74455462,42000000000000000,1881253895646747210815425834819120,5709715986070229447,201512,25527182,479
-10015954,5649958136710096,1881253974006508825029514096446630,5709715986070229447,201512,25527182,568
-34036121,19199637037951147,1881254240287947548985787051858321,5709715986070229447,201512,25527183,76
-24546007894,13847718345784276992,1881446295500078426542060301840434,5709715986070229447,201514,25527185,25
1652227726,-931266983990461866,1881433373216004793182713630916748,5709715986070229447,201514,25527185,109
-3785995406,2136105223166206620,1881462999045439283063557491304518,5709715986070229447,201514,25527185,150
-9579899708,5405397851242992537,1881537966979148615525505001079848,5709715986070229447,201515,25527186,98
-45550180712,25707296018106568704,1881894503707206186183707096374897,5709715986070229447,201519,25527191,11
123132,-69435821908639,1881894502743712976379494422518399,5709715986070229447,201519,25527193,346
-9600719751,5419631021204594927,1881969668131820982803361981557205,5709602508589509349,201520,25527197,263
-17714002,10000000000000000,1881969806825448628293891828390854,5709602508589509349,201520,25527198,230
54805515785,-30901121615796901440,1881541022029247092206877780209370,5709715986070229447,201515,25527200,9
65845616846,-37107271279977512647,1881026121091252218249897784115200,5726940053830441529,201509,25527201,15
59687473142,-33619332091389768535,1880561021425196500788882980464490,5726940053830441529,201505,25527205,2
68611736473,-38625443787183034955,1880026705747757596936128250122722,5730800114915843281,201499,25527206,16
83569129936,-47016183230314846369,1879376708237623444239010762401307,5730800114915843281,201492,25527207,8
15094180,-8489083057182387,1879376590876271003941782791575960,5730800114915843281,201492,25527208,19
40662653012,-22865142535889360176,1879060474614714089112435982516137,5730382024214425319,201489,25527208,49
10446660074,-5873051935293127732,1878979273900482840659186611568067,5730382024214425319,201488,25527208,70
5026100358,-2825463731698528172,1878940209087915853192539377157383,5730382024214425319,201487,25527208,170
4801355132,-2699011630759713580,1878902892599904037769593764196279,5730382024214425319,201487,25527208,586
-36378565586,20472819791014616387,1879185805040044479664807072497664,5730800114915843281,201490,25527209,21
-634263312,356999996271024142,1879190738087948508077426443060278,5730800114915843281,201490,25527210,291
495,-277816870795,1879190738084107697065494321628266,5730800114915843281,201490,25527210,455
15285874420,-8594649747267055276,1879071911848541039884987480357130,5730382024214425319,201489,25527217,12
5751257998,-3233426179987630167,1879027206554237200475464220149421,5730382024214425319,201488,25527218,90
88439122,-49720333033647195,1879026519121774721121811346146653,5730382024214425319,201488,25527221,1240
5220197727,-2934722386021500123,1878985943700947374792422649344085,5730382024214425319,201488,25527223,250
-51530066,28997856189624629,1878986344424342363500144348465159,5730382024214425319,201488,25527224,64
21595089225,-12139116729086013644,1878818509206912248319993167931649,5730382024214425319,201486,25527225,2
-40320894,22686000000000000,1878818822706326800437688121486007,5730382024214425319,201486,25527227,1338
1049564574,-589930314614387666,1878810666340025067311803208506611,5730382024214425319,201486,25527228,73
-46445926,26131947608065531,1878811027459229697266676106268860,5730382024214425319,201486,25527230,66
-22731503670,12790668867578990592,1878987782603447100588599962426194,5730382024214425319,201488,25527230,236
-6760058907,3804245869594461184,1879040353742163938085702089212841,5730382024214425319,201488,25527231,24
58063698,-32643779189181348,1879039902409838841527198714211696,5730382024214425319,201488,25527231,877
-52495113,29542620166209122,1879040310661365176806470503649624,5730382024214425319,201488,25527231,897
-48191339,27120601193346358,1879040685442842582058497795699502,5730382024214425319,201488,25527231,1023
-8884634,5000000000000000,1879040754538190936135394329587000,5730382024214425319,201488,25527232,207
-30576002290,17209414567712397312,1879278562986533843580641235929437,5730800114915843281,201491,25527234,9
-5525787756,3110602283165298176,1879321545480185146802535864552681,5730800114915843281,201491,25527236,802
-27246760110,15339954410543263744,1879533513913639620254468801904172,5730800114915843281,201494,25527239,72
-32269979647,18172508981887381504,1879784622760363474252866282857465,5730800114915843281,201496,25527240,6
-10815004526,6091445612806612087,1879868794730466090420369117675520,5730800114915843281,201497,25527241,11
2500000,-1406755794479328,1879868775282103825471958178704278,5730800114915843281,201497,25527243,505
29843185116,-16790755632824663121,1879636643522255442206920066547308,5730800114915843281,201495,25527247,63
1050115512,-590753935670267130,1879628476364461994632552709964538,5730800114915843281,201495,25527250,260
-201155093,113274841083445594,1879630041603182506061722913942669,5730800114915843281,201495,25527251,27
-2121669288,1194769957322236790,1879646551007931323282876840819177,5730800114915843281,201495,25527253,69
-16118548913,9077480828167099617,1879771984196281421717828727209984,5730800114915843281,201496,25527254,11
-46191962544,26020632960341811200,1880131569561291411598503438491626,5726940053830441529,201500,25527255,9
-300000,169026879149257,1880131571898489475517197747172894,5726940053830441529,201500,25527259,140
63389680532,-35670133876942059919,1879638402565457357287003840593612,5730800114915843281,201495,25527260,2
73219407791,-41178157149367400621,1879069109983236402006559043148440,5730382024214425319,201489,25527261,6
18952631040,-10654782700908209251,1878921797142344707153881243414485,5730382024214425319,201487,25527262,2
9835486352,-5528651460251125845,1878845358103110224420770628051683,5730382024214425319,201486,25527264,17
-19509580283,10977996754113898496,1878997063805101309474574938161452,5730382024214425319,201488,25527267,5
-37844277045,21299944702081904640,1879291398637867972935765038942747,5730800114915843281,201491,25527270,2
-207425415,116763909233029861,1879293012088746753555224061610713,5730800114915843281,201491,25527271,225
-12103022568,6813380315383365225,1879387159796968672003267737157632,5730800114915843281,201492,25527274,2
86213642,-48487743957189502,1879386489455169768297776747406508,5730800114915843281,201492,25527282,26
-7133749433,4016251588011571712,1879441986266613010700418697510571,5730800114915843281,201493,25527286,17
-26005341450,14642835931480592384,1879644321874050901066980039877553,5730800114915843281,201495,25527287,9
54631,-30732809812045,1879644321449170604863448009452526,5730800114915843281,201495,25527288,752
-60688660023,34184250533277782016,1880116702169726311499807735393539,5726940053830441529,201500,25527289,2
-5048797942,2844623051564112750,1880156035839744695605722980949582,5726940053830441529,201500,25527289,75
-6868355788,3870000000000000000,1880209547781471894849078859907953,5726940053830441529,201501,25527289,127
-145223569,81829125251540006,1880210679263482759990390029647450,5726940053830441529,201501,25527297,165
10823711992,-6092470289356733401,1880126394248856906952671877341947,5726940053830441529,201500,25527300,35
12908873390,-7265455586314501584,1880025922341784853809950280304940,5730800114915843281,201499,25527301,84
7831279262,-4407272885462640426,1879964991908789063919787454772450,5730800114915843281,201498,25527302,17
500000000,-281379375068771416,1879961101848246127705444065714399,5730803058217673569,201498,25527304,287
63804540992,-35897010793352708893,1879464826862695224226242133920525,5730803058217673569,201493,25527305,9
729712590,-410433275765818287,1879459152636248547231930712945616,5730803058217673569,201493,25527306,72
1557233518,-875871426344567965,1879447043742782295411657759032397,5730803058217673569,201493,25527306,301
44974899066,-25291419841991955804,1879097387107999320368363444956862,5730382024214425319,201489,25527308,2
7750512657,-4357513223145936187,1879037140205726030748684619714964,5730382024214425319,201488,25527321,214
86128448783,-48404560186607897697,1878367899595817165500079064575844,5730382024214425319,201481,25527323,2
49566795914,-27841125805982381130,1877983031588347308740754855581038,5731991749912951372,201477,25527324,12
200943785,-112844702590371008,1877981471837596474266114624804984,5731991749912951372,201477,25527328,129
5000000,-2807865060271119,1877981433027005144182070097717789,5731991749912951372,201477,25527332,311
13661680474,-7671597704054115287,1877875395437252840885225318976363,5731991749912951372,201476,25527333,5
6124574,-3439006519725681,1877875347902961215887913963264398,5731991749912951372,201476,25527333,52
53141864025,-29833112133114475859,1877462991647140617410293649988275,5731991749912951372,201472,25527334,5
