timestamp,open,high,low,close
1787097611,1917.37,1917.37,1917.24,1917.24
1787097612,1917.24,1917.24,1917.24,1917.24
1787097613,1917.24,1917.24,1917.24,1917.24
1787097614,1917.16,1917.16,1917.16,1917.16
1787097615,1917.16,1917.16,1917.16,1917.16
1787097616,1917.16,1917.16,1917.16,1917.16
1787097617,1917.16,1917.16,1917.16,1917.16
1787097618,1917.16,1917.16,1917.16,1917.16
1787097619,1917.16,1917.16,1917.16,1917.16
1787097620,1917.16,1917.16,1917.16,1917.16
1787097621,1917.17,1917.9,1917.17,1917.65
1787097622,1917.64,1917.64,1917.64,1917.64
1787097623,1917.64,1917.64,1917.64,1917.64
1787097624,1917.64,1917.64,1917.64,1917.64
1787097625,1917.64,1917.64,1917.64,1917.64
1787097626,1917.65,1917.65,1917.65,1917.65
1787097627,1917.65,1917.65,1917.65,1917.65
1787097628,1917.77,1917.77,1917.77,1917.77
1787097629,1917.77,1917.77,1917.77,1917.77
1787097630,1917.77,1917.77,1917.77,1917.77
1787097631,1917.77,1917.77,1917.55,1917.55
1787097632,1917.52,1917.52,1917.42,1917.42
1787097633,1917.42,1917.42,1917.42,1917.42
1787097634,1917.42,1917.42,1917.42,1917.42
1787097635,1917.42,1917.42,1917.42,1917.42
1787097636,1917.42,1917.42,1917.42,1917.42
1787097637,1917.42,1917.42,1917.42,1917.42
1787097638,1917.42,1917.42,1917.42,1917.42
1787097639,1917.42,1917.42,1917.42,1917.42
1787097640,1917.41,1917.41,1917.41,1917.41
1787097641,1917.41,1917.41,1917.41,1917.41
1787097642,1917.41,1917.41,1917.41,1917.41
1787097643,1917.41,1917.41,1917.41,1917.41
1787097644,1917.41,1917.41,1917.41,1917.41
1787097645,1917.41,1917.41,1917.41,1917.41
1787097646,1917.41,1917.41,1917.41,1917.41
1787097647,1917.41,1917.41,1917.41,1917.41
1787097648,1917.41,1917.41,1917.41,1917.41
1787097649,1917.41,1917.41,1917.41,1917.41
1787097650,1917.41,1917.41,1917.41,1917.41
1787097651,1917.41,1917.41,1917.41,1917.41
1787097652,1917.41,1917.41,1917.41,1917.41
1787097653,1917.41,1917.41,1917.41,1917.41
1787097654,1917.41,1917.41,1917.41,1917.41
1787097655,1917.41,1917.41,1917.41,1917.41
1787097656,1917.41,1917.41,1917.41,1917.41
1787097657,1917.41,1917.41,1917.41,1917.41
1787097658,1917.41,1917.41,1917.07,1917.07
1787097659,1917.07,1917.07,1917.07,1917.07
1787097660,1917.07,1917.07,1917.07,1917.07
1787097661,1917.07,1917.07,1917.07,1917.07
1787097662,1917.07,1917.07,1917.07,1917.07
1787097663,1917.07,1917.07,1917.07,1917.07
1787097664,1917.08,1917.08,1917.08,1917.08
1787097665,1917.08,1917.08,1917.08,1917.08
1787097666,1917.07,1917.07,1917.07,1917.07
1787097667,1917.07,1917.07,1917.07,1917.07
1787097668,1917.0,1917.0,1916.9,1916.9
1787097669,1916.9,1916.9,1916.9,1916.9
1787097670,1916.9,1916.9,1916.9,1916.9
1787097671,1916.9,1916.9,1916.9,1916.9
1787097672,1916.9,1916.9,1916.8,1916.8
1787097673,1916.8,1916.8,1916.8,1916.8
1787097674,1916.77,1916.91,1916.65,1916.91
1787097675,1916.91,1916.91,1916.91,1916.91
1787097676,1916.91,1916.91,1916.91,1916.91
1787097677,1916.91,1916.91,1916.91,1916.91
1787097678,1916.91,1916.91,1916.91,1916.91
1787097679,1916.91,1916.91,1916.91,1916.91
1787097680,1916.9,1916.9,1916.6,1916.6
1787097681,1916.6,1916.6,1916.6,1916.6
1787097682,1916.61,1916.61,1916.61,1916.61
1787097683,1916.61,1916.61,1916.61,1916.61
1787097684,1916.61,1916.61,1916.61,1916.61
1787097685,1916.61,1916.61,1916.61,1916.61
1787097686,1916.61,1916.61,1916.61,1916.61
1787097687,1916.61,1916.61,1916.61,1916.61
1787097688,1916.6,1916.6,1916.6,1916.6
1787097689,1916.6,1916.6,1916.6,1916.6
1787097690,1916.57,1916.57,1916.56,1916.56
1787097691,1916.56,1916.56,1916.56,1916.56
1787097692,1916.56,1916.56,1916.56,1916.56
1787097693,1916.56,1916.56,1916.56,1916.56
1787097694,1916.56,1916.56,1916.56,1916.56
1787097695,1916.56,1916.56,1916.56,1916.56
1787097696,1916.56,1916.56,1916.56,1916.56
