amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
80104849,-23828117199698498,1373266467355175803231110778511738,13188738351829361,195217,21501445,384
104341520,-31030148859850996,1373080061225102786437142916617178,13188738351829361,195214,21501468,70
21165040,-6293248370751052,1373042256054406429851058122828529,13188738351829361,195213,21501468,94
11788002,-3504913771963758,1373021201130840893286011447723255,13188738351829361,195213,21501482,478
1573122544,-466775920084647691,1370232367023139682148149798769051,13296868544999470,195172,21501487,422
33611276,-9952465306274048,1370173066178280266466862019609627,13296868544999470,195172,21501512,204
1500000000,-443282054422500382,1367531811018947996127296939849860,13296868544999470,195133,21501521,276
1464095876,-431026572801372549,1364963579014374554335180810503181,13296868544999470,195095,21502420,330
198250000,-58239940721423162,1364616561709308896139215576001136,13296868544999470,195090,21503947,182
1645758361,-482333876186177008,1361742619878622398311542802845954,13296868544999470,195048,21504065,155
