timestamp,open,high,low,close
1735377300,3338.86,3340.96,3338.86,3340.55
1735377360,3340.39,3342.47,3340.39,3342.22
1735377420,3342.22,3342.23,3340.86,3342.23
1735377480,3342.18,3342.88,3341.42,3342.54
1735377540,3341.97,3342.93,3341.9,3341.92
1735377600,3342.9,3345.75,3342.9,3345.48
1735377660,3345.71,3345.71,3344.17,3344.5
1735377720,3344.29,3344.29,3343.56,3344.1
1735377780,3344.09,3345.61,3344.09,3345.61
1735377840,3345.65,3345.96,3345.62,3345.62
1735377900,3345.62,3346.11,3344.01,3344.01
1735377960,3344.16,3344.47,3343.45,3344.08
1735378020,3343.76,3353.43,3343.76,3349.84
1735378080,3349.26,3349.58,3348.22,3348.22
1735378140,3348.39,3348.39,3346.18,3347.15
1735378200,3347.5,3351.8,3347.5,3350.56
1735378260,3350.06,3351.53,3350.03,3350.62
1735378320,3350.48,3350.48,3348.86,3348.92
1735378380,3348.91,3349.75,3348.26,3349.75
1735378440,3350.54,3350.54,3348.62,3348.83
1735378500,3348.84,3351.39,3348.84,3351.34
1735378560,3351.35,3352.49,3351.31,3351.79
1735378620,3352.37,3352.37,3350.65,3351.19
1735378680,3350.71,3350.71,3349.22,3349.32
1735378740,3349.47,3350.58,3348.47,3348.57
1735378800,3348.66,3349.42,3348.25,3348.41
1735378860,3348.41,3348.41,3345.37,3347.4
1735378920,3347.4,3347.72,3346.73,3347.72
1735378980,3347.58,3347.58,3347.04,3347.04
1735379040,3347.04,3347.04,3346.11,3346.12
1735379100,3346.12,3347.79,3346.12,3347.4
1735379160,3347.14,3347.73,3345.5,3347.17
1735379220,3347.17,3348.0,3347.17,3347.47
1735379280,3346.98,3347.19,3346.97,3346.97
1735379340,3346.97,3348.0,3346.97,3348.0
1735379400,3348.38,3349.89,3348.03,3348.55
1735379460,3348.54,3350.57,3348.54,3350.01
1735379520,3350.01,3350.18,3348.73,3349.41
1735379580,3349.34,3350.36,3349.0,3350.21
1735379640,3350.57,3351.21,3349.98,3349.99
1735379700,3349.99,3350.63,3349.46,3350.63
1735379760,3351.01,3351.01,3349.88,3349.88
1735379820,3349.89,3349.89,3349.0,3349.0
