amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
-292777956,164994963853928627,1880728502862251163066429575191989,725028075042101824,201506,25527155,45
-442275010,249250000000000000,1880755737179685812895220250024746,725028075042101824,201507,25527155,110
-20564180,11589394697789847,1880757003495650005698884621876155,725028075042101824,201507,25527155,184
47623205,-26833709430205789,1880754071215418687156574942881877,725028075042101824,201507,25527155,235
-3879716,2186493931711746,1880754310122820112124358526168751,725028075042101824,201507,25527155,644
-7280972921,4104321316022535680,1881202758469982781791302003828803,725049132167454327,201511,25527156,7
-21799493,12291423719155999,1881204101454189038990191307030184,725049132167454327,201511,25527156,239
8993122907,-5068178367347618058,1880650281859709217074316020516819,725028075042101824,201506,25527157,38
-26105210,14710516606815553,1880651889205261464627549299344512,725028075042101824,201506,25527157,290
99032781,-55794550395547623,1880645747141179483068556611595622,717582658659717592,201505,25527157,470
-375671569,211695656713084510,1880668923140065951877730682594465,725028075042101824,201506,25527158,58
-1079047692,608085914516327853,1880735365687000664066509926091065,725028075042101824,201506,25527158,168
-580229567,327000000000000000,1880771095363233885707491072210670,725028075042101824,201507,25527158,259
53252177,-30005846804814591,1880767816444542506864933519391321,725028075042101824,201507,25527158,338
4495584581,-2532735336835526683,1880489398652721096518284773263663,717582658659717592,201504,25527159,19
-227850145,128374458682409119,1880503571034488122632132903700347,717582658659717592,201504,25527159,105
1682527146,-947727841599299225,1880398932586850930117766795003269,717582658659717592,201503,25527160,270
2648340788,-1491534234837927220,1880234252580544693673533622309491,717582658659717592,201501,25527162,68
-532605222,300000000000000000,1880267372210210485110506849284003,717582658659717592,201501,25527162,233
105413,-59364785442665,1880267365655756009495441861934319,717582658659717592,201501,25527162,463
-2076559,1169682123309779,1880267494787218511883686862891018,717582658659717592,201501,25527162,632
-3021787,1702109805311085,1880267682698039853268581605054776,717582658659717592,201501,25527163,3
186737329,-105163546632634658,1880256071611201789302168059196711,717582658659717592,201501,25527163,86
-541529026,305033671193133056,1880289746951953500503528894332497,717582658659717592,201502,25527163,186
-820690045,462300936963101019,1880340784404708054828674849284076,717582658659717592,201502,25527163,218
-17596469,9912500000000000,1880341878732471595354071506325358,717582658659717592,201502,25527163,313
-17751777,10000000000000000,1880342982720127121735303947224508,717582658659717592,201502,25527163,326
-13079241,7367856654679650,1880343796122406567158604688771726,717582658659717592,201502,25527163,363
-102000000,57459312336203298,1880350139559557987473870406224588,717582658659717592,201502,25527163,758
-1605898,904648631408691,1880350239431650153876874477229360,717582658659717592,201502,25527163,794
192811789,-108593970769151052,1880338249592346850001986609071332,717582658659717592,201502,25527164,63
-3296288383,1857072140496820480,1880543268064199894331753253874048,717582658659717592,201504,25527164,134
-9660563531,5444916454070366208,1881139295900746879329491127098893,725049132167454327,201511,25527165,36
199890539,-112675295759653776,1881126983553558624378212919897189,725049132167454327,201511,25527166,68
-62079279,35000000000000000,1881130807719765322324735133943961,725049132167454327,201511,25527166,89
241189538,-135953511300701114,1881115951696345892707826427437902,725049132167454327,201510,25527166,215
40049435,-22574823153925184,1881113484881783652968292262284590,725049132167454327,201510,25527166,299
-3157675,1780253095993990,1881113679395604483528569278227140,725049132167454327,201510,25527166,578
