amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
198000000,-103054563397733671,1810220745727039721704642213754134,659292489292643797,200742,25785530,154
-350057280,183296061401072110,1810242706607446565341650144483518,659292489292643797,200742,25785663,25
198000000,-103055653774076215,1810230322255140465044141975588614,659292459017367358,200742,25785846,108
198000000,-103054243721393754,1810217938072282508058080154704013,659292459017367358,200742,25785946,63
198000000,-103052833697650534,1810205554058869216711463716704485,659292459017367358,200742,25786053,901
4971556,-2587521749532097,1810205243112504098765747546588358,659292459017367358,200742,25786082,98
-18907477,9900000000000000,1810206429241242216098542521852724,659292459017367358,200742,25786089,223
-6283668727,3290862561148488704,1810600710721744502041795585781702,659292459017367358,200746,25786110,27
-2822181137,1478490093865580544,1810777850074204679614210813478707,659292459017367358,200748,25786115,69
-4644967887,2434045399452122624,1811069475447757451881795509291910,659292459017367358,200751,25786119,38
-1815008139,951309434344219392,1811183452766840060225115279119644,659292459017367358,200753,25786121,36
-3232865090,1694754613791836928,1811386502984160811662033146097247,659292459017367358,200755,25786123,52
-1140158741,597792444933401216,1811458125085005754120249520294212,659292459017367358,200756,25786124,32
-2154784690,1129896356234976000,1811593499078866801030537369254681,659292459017367358,200757,25786125,63
-4029454836,2113363431899286272,1811847092294574734014960104341831,654129196947799478,200760,25786126,47
648255,-338006292175621,1811847051355234963998365280971331,654129196947799478,200760,25786133,160
-188731150,99000000000000000,1811859006267752451710486733274019,654129196947799478,200760,25786133,169
-56618859,29700000000000000,1811862592741507698024123168964825,654129196947799478,200760,25786139,102
198000000,-103240167702358255,1811850088336177174937947479639632,654131769445782738,200760,25786201,315
360539,-187988938438371,1811850065567036672714062874023423,654131769445782738,200760,25786219,167
-18873164,9900000000000000,1811851261053586924053443604116346,654131769445782738,200760,25786230,119
-18873139,9900000000000000,1811852456540137175392824334209269,654131769445782738,200760,25786232,188
-169857134,89100000000000000,1811863215919089437447250905045581,654131769445782738,200760,25786238,178
7074760,-3688912613316002,1811862769119558088673518879983041,654131769445782738,200760,25786251,94
325617,-169782709220048,1811862748555548348564085732896899,654131769445782738,200760,25786253,107
-1048709956,550132852668487424,1811929180517792447389729388580726,654131769445782738,200761,25786285,149
-1326293090,695805341476901248,1812013203338734737880738554656163,654131769445782738,200762,25786362,171
-2022848689,1061359485010252288,1812141369095230843401742811035572,654131769445782738,200763,25786363,119
-19057672,9999999113918057,1812142576657295814547841201130978,654131769445782738,200763,25786367,151
-6338263,3325835821973846,1812142978272648694733730766731954,654131769445782738,200763,25786367,340
-1127301979,591545267377796065,1812214411041438087419040030953383,654131769445782738,200764,25786379,87
869029,-453303370999561,1812214356137526026633736013023141,654131769445782738,200764,25786383,33
-952775822,500000000000000000,1812274734246124579127712280342518,654131769445782738,200765,25786474,819
-190548,100000000000000,1812274746321746298838211075595981,654131769445782738,200765,25786684,1049
-121279646,63647817304436705,1812282432191396835054178625878732,654131769445782738,200765,25786722,98
43950,-22926889822372,1812282429414501662492003160733881,654131769445782738,200765,25786758,528
-762188,400000000000000,1812282477716988541333998341747736,654131769445782738,200765,25786758,721
-2410948449,1265383006188734000,1812435280582121393742047792227038,654131769445782738,200767,25786908,560
49500000,-25826494083512080,1812432152488110372346146558341160,654131769445782738,200767,25786967,351
49500000,-25826404935432806,1812429024404896928506478207825796,654131769445782738,200766,25786967,360
