timestamp,open,high,low,close
1784851260,1877.36,1877.44,1875.62,1876.28
1784851320,1876.29,1878.08,1876.29,1876.59
1784851380,1876.59,1877.14,1875.44,1875.96
1784851440,1875.96,1875.97,1875.21,1875.53
1784851500,1875.57,1875.76,1873.54,1873.79
1784851560,1873.8,1875.9,1873.7,1875.9
1784851620,1875.93,1875.93,1874.05,1874.05
1784851680,1873.92,1874.05,1873.38,1873.38
1784851740,1873.36,1873.65,1873.08,1873.34
1784851800,1873.35,1874.19,1872.51,1872.78
1784851860,1872.78,1872.78,1870.69,1872.44
1784851920,1872.44,1874.1,1872.08,1874.1
1784851980,1874.19,1874.71,1873.37,1874.66
1784852040,1874.52,1874.52,1873.4,1873.4
1784852100,1873.38,1874.08,1873.3,1873.67
1784852160,1873.67,1874.08,1873.44,1873.87
1784852220,1873.88,1874.54,1872.83,1873.13
1784852280,1872.91,1874.4,1872.19,1874.4
1784852340,1874.46,1874.5,1872.41,1872.53
1784852400,1872.53,1873.83,1871.93,1873.83
1784852460,1873.88,1874.48,1873.88,1874.07
1784852520,1874.07,1874.83,1873.79,1874.83
1784852580,1874.85,1876.42,1874.68,1876.2
1784852640,1876.13,1876.39,1875.3,1875.3
1784852700,1875.2,1875.2,1873.22,1873.22
1784852760,1873.22,1874.51,1872.91,1873.9
1784852820,1873.8,1873.8,1872.17,1872.17
1784852880,1872.17,1872.17,1871.11,1871.42
1784852940,1871.42,1871.42,1869.86,1870.37
1784853000,1870.37,1871.09,1869.42,1869.42
1784853060,1869.42,1870.09,1868.84,1869.04
1784853120,1869.15,1869.81,1861.45,1862.79
1784853180,1862.79,1864.68,1858.34,1864.68
1784853240,1864.55,1865.99,1864.11,1865.88
1784853300,1865.82,1866.77,1865.1,1866.63
1784853360,1866.7,1868.37,1866.7,1867.9
1784853420,1867.86,1867.86,1866.57,1866.58
1784853480,1866.57,1866.57,1862.79,1863.2
1784853540,1863.25,1865.74,1863.25,1864.04
1784853600,1864.03,1864.26,1861.91,1863.11
1784853660,1863.11,1864.36,1860.84,1861.05
1784853720,1861.06,1864.81,1861.06,1864.3
1784853780,1864.28,1865.56,1864.22,1865.09
1784853840,1865.09,1865.61,1864.75,1864.75
1784853900,1864.74,1867.29,1864.73,1867.05
1784853960,1867.05,1868.04,1867.04,1867.1
1784854020,1867.09,1868.08,1866.16,1867.61
1784854080,1867.62,1867.72,1866.73,1866.89
1784854140,1866.88,1867.35,1866.2,1866.91
1784854200,1866.91,1867.9,1865.81,1867.9
1784854260,1867.9,1868.41,1867.18,1868.11
1784854320,1868.1,1868.18,1867.31,1867.76
1784854380,1867.75,1868.04,1867.43,1867.7
1784854440,1867.7,1867.7,1866.98,1867.0
1784854500,1866.98,1867.24,1865.78,1867.24
1784854560,1867.25,1868.13,1867.25,1868.13
1784854620,1868.13,1869.92,1867.5,1868.41
1784854680,1868.45,1869.79,1868.45,1869.61
1784854740,1869.62,1870.19,1869.46,1870.19
1784854800,1870.19,1870.52,1869.27,1869.83
1784854860,1869.83,1871.04,1869.64,1871.04
1784854920,1871.05,1871.56,1870.0,1870.0
1784854980,1869.97,1870.49,1869.23,1870.49
1784855040,1870.38,1873.24,1870.38,1872.96
1784855100,1872.97,1875.59,1872.97,1873.71
1784855160,1873.71,1874.34,1872.7,1873.4
1784855220,1873.35,1874.77,1872.86,1873.16
1784855280,1873.15,1873.79,1873.09,1873.78
1784855340,1873.78,1874.96,1873.59,1874.1
1784855400,1874.0,1874.53,1873.69,1873.69
1784855460,1873.62,1873.62,1872.55,1872.55
1784855520,1872.55,1873.63,1871.78,1873.63
1784855580,1873.67,1873.67,1873.03,1873.56
1784855640,1873.55,1873.55,1872.6,1872.6
1784855700,1872.54,1872.54,1871.36,1871.66
1784855760,1871.65,1873.25,1871.18,1871.33
1784855820,1871.37,1872.28,1870.78,1872.28
1784855880,1872.16,1872.24,1870.83,1870.94
1784855940,1870.84,1872.45,1870.84,1872.45
1784856000,1872.44,1872.44,1871.4,1871.85
