amount0,amount1,sqrtPriceX96,liquidity,tick,block,logIndex
75001227661,-30426117255077648539,1595819396015307714387712519495151,3506460186928549493,198221,25821306,100
-15587061566,6327448955887309105,1595962292689272110119567457517568,3506460186928549493,198223,25821306,144
-12192755,4950000000000000,1595962404478168560342699616193771,3506460186928549493,198223,25821306,271
65000000,-26362229635315322,1595961808825886075813947517365353,3506460186928549493,198223,25821306,537
10662559540,-4324177384478543718,1595864104414515568616101469493587,3506460186928549493,198221,25821307,79
-10096,4098256992892,1595864104507069028536241326968628,3506460186928549493,198221,25821307,134
-4948470860,2008783856076627968,1595909470109185761888050671753190,3506460186928549493,198222,25821307,146
-11691808027,4746630045014114594,1596016666176779620639740945331045,3506460186928549493,198223,25821310,304
-26569283017,10788945742606303232,1596260319578482103820716660098960,3506460186928549493,198226,25821312,2
87949,-35683039968934,1596260318772226923681883838732539,3506460186928549493,198226,25821313,673
69612731666,-28232292269581966169,1595622140856685619093357811538428,3496833951562252062,198218,25821314,67
-46119861763,18720667340838207488,1596045192939491542044463083479784,3506460186928549493,198224,25821314,84
-9974284073,4050000000000000000,1596136656582041724607138364010327,3506460186928549493,198225,25821314,346
-12641897759,5133836061783725056,1596252597161416100802380872947916,3506460186928549493,198226,25821315,27
-848975,344791287126520,1596252604948049937878262405852427,3506460186928549493,198226,25821315,216
-973352,395304230535692,1596252613875448663876159149142237,3506460186928549493,198226,25821315,281
73948,-30002203565477,1596252613197551487477927804560980,3506460186928549493,198226,25821315,301
41658,-16901432114656,1596252612815665100946104079350646,3506460186928549493,198226,25821315,322
-1211517154,492032587948389786,1596263724690417484350551132325896,3506460186928549493,198226,25821316,190
-20129734188,8176277023956078592,1596448374586494123669608243641986,3506460186928549493,198229,25821317,44
-4321345338,1755486731012269824,1596488019823745208788915025779597,3506460186928549493,198229,25821318,64
-12615817247,5125500000000000000,1596603770591877860578550579232337,3506524525945502308,198231,25821318,312
-288854345,117363205270866071,1596606421028740936261773220226814,3506524525945502308,198231,25821318,598
-28893372821,11741515055201116099,1596871582024121388226575994448680,3506524525945502308,198234,25821318,829
-396175469,161022508825460460,1596875218427815296820490474603834,3506524525945502308,198234,25821318,1154
-13176076327,5355733904995778560,1596996168043479456158054925681416,3506524525945502308,198235,25821322,20
130764365,-53103171485809340,1596994968203960476578286076176878,3506524525945502308,198235,25821322,88
451310,-183275895350998,1596994964062933566777668243098687,3506524525945502308,198235,25821322,375
4108549,-1668472712146151,1596994926364629673441324730198563,3506524525945502308,198235,25821323,335
-9855474422,4006519371507666432,1597085406397194929020843196740995,3506524525945502308,198237,25821325,31
-15679301999,6375000000000000000,1597229374304028348058856009895375,3506524525945502308,198238,25821325,426
-389235,158272372579561,1597229377878325162151152865074252,3506524525945502308,198238,25821325,589
-306267,124535757605207,1597229380690741216792037677033392,3506524525945502308,198238,25821325,608
-21270174334,8650012001412868096,1597424281478614410875645276511650,3521118752686365653,198241,25821326,70
-1702070658,692277816381051837,1597439850529033333336022902952671,3521118752686365653,198241,25821326,275
-997901921,405879767725373456,1597448978602211773315763265182703,3521118752686365653,198241,25821326,319
-4583984510,1864517943946628092,1597490910862916068843280805416063,3521118752686365653,198242,25821326,647
-386236714,157104758678806233,1597494444085924296278801226096526,3521118752686365653,198242,25821326,1145
-9000128121,3661068223738801700,1597576780041827771353123985283391,3521118752686365653,198243,25821328,1050
-26140668168,10635629886899392512,1597815971092050578200658759952092,3521118752686365653,198246,25821329,13
230216,-93586017464321,1597815968986285700185917354704123,3521118752686365653,198246,25821329,156
-2560466293,1041926252498080768,1597839401489789485081281177317180,3521118752686365653,198246,25821330,811
-4785653770,1947500000000000000,1597883199983650455479681814300622,3521118752686365653,198247,25821331,375
416250000,-169225927799103030,1597879392256546941702788865075669,3521118752686365653,198247,25821331,748
10078294,-4097307737564842,1597879300063642895204427387084012,3521118752686365653,198247,25821335,494
-16215408,6598936025578581,1597879448471067288138881174279495,3521118752686365653,198247,25821335,857
-47805449414,19459980340428611584,1598317112541088143937097960931021,3520821997007690020,198252,25821336,2
-2752956394,1120960000000000000,1598342324606715689457032409198857,3520821997007690020,198252,25821336,359
-6074620783,2473613953988746240,1598397959881252851027759430713745,3520821997007690020,198253,25821338,128
-66615756783,27137550255040282624,1599008311807503692840228258476128,3521282820468143200,198261,25821339,2
1195436,-486688739702500,1599008300857103929754500067824590,3521282820468143200,198261,25821343,152
-28437165521,11590884205427392512,1599268963048151917793799378287767,3521282820468143200,198264,25821344,10
436167,-177630909308711,1599268959051491817541998346623613,3521282820468143200,198264,25821344,301
30359910095,-12362081116407177684,1598990814687167507234156326642257,3521282820468143200,198260,25821345,98
